assembly_accession_version	binding_status	annotation_object_id	annotation_path	annotation_view_paths	annotation_accession_version	annotation_provider	annotation_format	annotation_feature_rows	assembly_bgzf_path	assembly_fai_path	accepted_candidate_count	reason
GCA_039878825.1	EXACT_DICTIONARY	3fefe36023f2de8dbd6086ffc319a2e78abb1dc5e4c0069987db4cfe65054b5a	/moosefs/erikg/vgp/freeze1/objects/GCA/039/878/825/GCA_039878825.1/genes/GCA_039878825.1_bCotChi1.hap2.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	284120	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/039/878/825/GCA_039878825.1/GCA_039878825.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/039/878/825/GCA_039878825.1/GCA_039878825.1.fa.gz.fai	2	all 141 annotation sequence names and lengths match the target FAI
GCA_039880945.1	EXACT_DICTIONARY	c79beacda4b21d943fd05c1dbccd750f7d5ae08a03d1423969f46ee9db25ff60	/moosefs/erikg/vgp/objects/sha256/c7/9b/c79beacda4b21d943fd05c1dbccd750f7d5ae08a03d1423969f46ee9db25ff60	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_039880945.1/GCA_039880945.1-GB_2025_09_03/GCA_039880945.1_mMolNig1.hap1_genomic.gff.gz""]"	GCA_039880945.1-GB_2025_09_03	Vertebrate Genome Laboratory	GFF3	1515766	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/039/880/945/GCA_039880945.1/GCA_039880945.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/039/880/945/GCA_039880945.1/GCA_039880945.1.fa.gz.fai	3	all 366 annotation sequence names and lengths match the target FAI
GCA_039906565.1	EXACT_DICTIONARY	f90a41815ca3f3dd892c52fd7a17486623bbb48b6c2524c2180a5cfcfc790653	/moosefs/erikg/vgp/objects/sha256/f9/0a/f90a41815ca3f3dd892c52fd7a17486623bbb48b6c2524c2180a5cfcfc790653	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_039906565.1/GCA_039906565.1-GB_2025_12_03/GCA_039906565.1_bAegAlb1.hap1_genomic.gff.gz""]"	GCA_039906565.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	493498	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/039/906/565/GCA_039906565.1/GCA_039906565.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/039/906/565/GCA_039906565.1/GCA_039906565.1.fa.gz.fai	3	all 592 annotation sequence names and lengths match the target FAI
GCA_040206685.1	EXACT_DICTIONARY	250b621ebe667cdaee17c861109bd233c7171077208ad06459c68f91cd92b605	/moosefs/erikg/vgp/freeze1/objects/GCA/040/206/685/GCA_040206685.1/genes/GCA_040206685.1_aAscTru1.hap1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	878274	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/206/685/GCA_040206685.1/GCA_040206685.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/206/685/GCA_040206685.1/GCA_040206685.1.fa.gz.fai	2	all 1648 annotation sequence names and lengths match the target FAI
GCA_040805955.1	EXACT_DICTIONARY	ccb97b8bb001403f70f85e0e31b6cd3c352d52d21a19aeeb8dc339513c3c582e	/moosefs/erikg/vgp/objects/sha256/cc/b9/ccb97b8bb001403f70f85e0e31b6cd3c352d52d21a19aeeb8dc339513c3c582e	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_040805955.1/Annotation_submitted_by_China_Agricultural_University/GCA_040805955.1_T2T-sheep1.0_genomic.gff.gz""]"	Annotation submitted by China Agricultural University	China Agricultural University	GFF3	445724	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/805/955/GCA_040805955.1/GCA_040805955.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/805/955/GCA_040805955.1/GCA_040805955.1.fa.gz.fai	4	all 28 annotation sequence names and lengths match the target FAI
GCA_040894355.2	EXACT_DICTIONARY	245ac4b36ec30daefbf41165e5df45519b3c6fa57f10d618d2e2c7b76c8c6be3	/moosefs/erikg/vgp/objects/sha256/24/5a/245ac4b36ec30daefbf41165e5df45519b3c6fa57f10d618d2e2c7b76c8c6be3	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_040894355.2/GCA_040894355.2-GB_2025_09_23/GCA_040894355.2_rMyuGeo1.pri_genomic.gff.gz""]"	GCA_040894355.2-GB_2025_09_23	Vertebrate Genome Laboratory	GFF3	1120275	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/894/355/GCA_040894355.2/GCA_040894355.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/894/355/GCA_040894355.2/GCA_040894355.2.fa.gz.fai	3	all 109 annotation sequence names and lengths match the target FAI
GCA_040939525.1	EXACT_DICTIONARY	be6567a2bb3e34b934a7438aa3a0cf77f0c3c0a2b1b93cc0165d7fc9184c4f0c	/moosefs/erikg/vgp/freeze1/objects/GCA/040/939/525/GCA_040939525.1/genes/GCA_040939525.1_ASM4093952v1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	1704929	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/939/525/GCA_040939525.1/GCA_040939525.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/939/525/GCA_040939525.1/GCA_040939525.1.fa.gz.fai	2	all 3070 annotation sequence names and lengths match the target FAI
GCA_040954625.2	EXACT_DICTIONARY	3484e51867238581e879c5ad993ae081532643c01ce9ebe6458e09f7e0aab7b9	/moosefs/erikg/vgp/freeze1/objects/GCA/040/954/625/GCA_040954625.2/genes/GCA_040954625.2_keBalMisa1.hap1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	897980	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/954/625/GCA_040954625.2/GCA_040954625.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/954/625/GCA_040954625.2/GCA_040954625.2.fa.gz.fai	2	all 96 annotation sequence names and lengths match the target FAI
GCA_040955705.1	EXACT_DICTIONARY	bfe286d9f8d810d2ee903e1a191773082e3b8eb6026d3769de26f096c750dfa0	/moosefs/erikg/vgp/objects/sha256/bf/e2/bfe286d9f8d810d2ee903e1a191773082e3b8eb6026d3769de26f096c750dfa0	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_040955705.1/GCA_040955705.1-GB_2025_09_23/GCA_040955705.1_LycPic1.final.hap2_genomic.gff.gz""]"	GCA_040955705.1-GB_2025_09_23	Vertebrate Genome Laboratory	GFF3	994721	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/955/705/GCA_040955705.1/GCA_040955705.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/040/955/705/GCA_040955705.1/GCA_040955705.1.fa.gz.fai	3	all 76 annotation sequence names and lengths match the target FAI
GCA_041735815.1	EXACT_DICTIONARY	cc4ac9ffdf556dbfab796c99ce12840b96a2e017295d80c5d34b4b30e1eba4df	/moosefs/erikg/vgp/objects/sha256/cc/4a/cc4ac9ffdf556dbfab796c99ce12840b96a2e017295d80c5d34b4b30e1eba4df	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_041735815.1/GCA_041735815.1-GB_2026_05_13/GCA_041735815.1_T2T-goat2.0_genomic.gff.gz""]"	GCA_041735815.1-GB_2026_05_13	Vertebrate Genome Laboratory	GFF3	1993127	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/735/815/GCA_041735815.1/GCA_041735815.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/735/815/GCA_041735815.1/GCA_041735815.1.fa.gz.fai	3	all 31 annotation sequence names and lengths match the target FAI
GCA_041753875.1	EXACT_DICTIONARY	ee7f4ffd1d18f6ac80d1f80a56ad1fa77079ea66bd74a76b567ef7fd1d5c220d	/moosefs/erikg/vgp/objects/sha256/ee/7f/ee7f4ffd1d18f6ac80d1f80a56ad1fa77079ea66bd74a76b567ef7fd1d5c220d	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_041753875.1/GCA_041753875.1-GB_2025_08_09/GCA_041753875.1_ASM4175387v1_genomic.gff.gz""]"	GCA_041753875.1-GB_2025_08_09	Vertebrate Genome Laboratory	GFF3	1330352	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/753/875/GCA_041753875.1/GCA_041753875.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/753/875/GCA_041753875.1/GCA_041753875.1.fa.gz.fai	3	all 24 annotation sequence names and lengths match the target FAI
GCA_041834305.1	EXACT_DICTIONARY	431f160c5e40cd25b30d8373cf06ee06bd5945f1d06e78d1275d75dcad302b4f	/moosefs/erikg/vgp/objects/sha256/43/1f/431f160c5e40cd25b30d8373cf06ee06bd5945f1d06e78d1275d75dcad302b4f	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_041834305.1/GCA_041834305.1-GB_2025_09_25/GCA_041834305.1_ASM4183430v1_genomic.gff.gz""]"	GCA_041834305.1-GB_2025_09_25	Vertebrate Genome Laboratory	GFF3	1499727	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/834/305/GCA_041834305.1/GCA_041834305.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/834/305/GCA_041834305.1/GCA_041834305.1.fa.gz.fai	3	all 1355 annotation sequence names and lengths match the target FAI
GCA_041902795.1	EXACT_DICTIONARY	c04e2ac43130bfa29c20c16b437bc28491761bf6d30103cae0037610fde014a5	/moosefs/erikg/vgp/objects/sha256/c0/4e/c04e2ac43130bfa29c20c16b437bc28491761bf6d30103cae0037610fde014a5	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_041902795.1/GCA_041902795.1-GB_2025_11_18/GCA_041902795.1_ASM4190279v1_genomic.gff.gz""]"	GCA_041902795.1-GB_2025_11_18	Vertebrate Genome Laboratory	GFF3	2056929	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/902/795/GCA_041902795.1/GCA_041902795.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/902/795/GCA_041902795.1/GCA_041902795.1.fa.gz.fai	3	all 460 annotation sequence names and lengths match the target FAI
GCA_041903045.1	EXACT_DICTIONARY	8d0da2febaeffb679d2538a16294b911c1d9aa134430b6e3c488e4877f0477bd	/moosefs/erikg/vgp/freeze1/objects/GCA/041/903/045/GCA_041903045.1/genes/GCA_041903045.1_ASM4190304v1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	618957	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/903/045/GCA_041903045.1/GCA_041903045.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/041/903/045/GCA_041903045.1/GCA_041903045.1.fa.gz.fai	2	all 64 annotation sequence names and lengths match the target FAI
GCA_042242135.1	EXACT_DICTIONARY	a092ef165f751ddc87f7ca6e5c0b461659a35df4c91650bcfde25b27a607a5db	/moosefs/erikg/vgp/objects/sha256/a0/92/a092ef165f751ddc87f7ca6e5c0b461659a35df4c91650bcfde25b27a607a5db	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_042242135.1/GCA_042242135.1-GB_2025_10_02/GCA_042242135.1_fArrGeo1.hap2_genomic.gff.gz""]"	GCA_042242135.1-GB_2025_10_02	Vertebrate Genome Laboratory	GFF3	707461	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/042/242/135/GCA_042242135.1/GCA_042242135.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/042/242/135/GCA_042242135.1/GCA_042242135.1.fa.gz.fai	3	all 552 annotation sequence names and lengths match the target FAI
GCA_043250625.1	EXACT_DICTIONARY	73906eb4ea66c980bf40827d30dd73dc8c73734a3d05be4cbca997714370cda6	/moosefs/erikg/vgp/freeze1/objects/GCA/043/250/625/GCA_043250625.1/genes/GCA_043250625.1_fSebFas1.pri.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	608658	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/250/625/GCA_043250625.1/GCA_043250625.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/250/625/GCA_043250625.1/GCA_043250625.1.fa.gz.fai	2	all 175 annotation sequence names and lengths match the target FAI
GCA_043290085.1	EXACT_DICTIONARY	5738ecb36d4d93436c71649cbf18aa4266d09005a88b98b5c648f20524aa0931	/moosefs/erikg/vgp/objects/sha256/57/38/5738ecb36d4d93436c71649cbf18aa4266d09005a88b98b5c648f20524aa0931	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043290085.1/GCA_043290085.1-GB_2025_12_03/GCA_043290085.1_mRhyPet1.hap1_genomic.gff.gz""]"	GCA_043290085.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	645602	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/290/085/GCA_043290085.1/GCA_043290085.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/290/085/GCA_043290085.1/GCA_043290085.1.fa.gz.fai	3	all 469 annotation sequence names and lengths match the target FAI
GCA_043727835.1	EXACT_DICTIONARY	f37c9ea94dfd40f52279852b95a763151f44f0c9b5eacda7a73287361453784a	/moosefs/erikg/vgp/objects/sha256/f3/7c/f37c9ea94dfd40f52279852b95a763151f44f0c9b5eacda7a73287361453784a	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043727835.1/GCA_043727835.1-GB_2025_08_08/GCA_043727835.1_ASM4372783v1_genomic.gff.gz""]"	GCA_043727835.1-GB_2025_08_08	Vertebrate Genome Laboratory	GFF3	1268225	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/727/835/GCA_043727835.1/GCA_043727835.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/727/835/GCA_043727835.1/GCA_043727835.1.fa.gz.fai	3	all 75 annotation sequence names and lengths match the target FAI
GCA_043728065.1	EXACT_DICTIONARY	648a56b098348c7379b850fbd0241cb4487cdf425a776b508e0b9f4512a0c6aa	/moosefs/erikg/vgp/objects/sha256/64/8a/648a56b098348c7379b850fbd0241cb4487cdf425a776b508e0b9f4512a0c6aa	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043728065.1/GCA_043728065.1-GB_2025_10_23/GCA_043728065.1_ASM4372806v1_genomic.gff.gz""]"	GCA_043728065.1-GB_2025_10_23	Vertebrate Genome Laboratory	GFF3	2343349	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/728/065/GCA_043728065.1/GCA_043728065.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/728/065/GCA_043728065.1/GCA_043728065.1.fa.gz.fai	3	all 2194 annotation sequence names and lengths match the target FAI
GCA_043728145.1	EXACT_DICTIONARY	9e87d4452595f07b5927f247964c5d9f4f8d36f632f288d02d815a02003a3da6	/moosefs/erikg/vgp/objects/sha256/9e/87/9e87d4452595f07b5927f247964c5d9f4f8d36f632f288d02d815a02003a3da6	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043728145.1/GCA_043728145.1-GB_2025_10_26/GCA_043728145.1_ASM4372814v1_genomic.gff.gz""]"	GCA_043728145.1-GB_2025_10_26	Vertebrate Genome Laboratory	GFF3	1645821	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/728/145/GCA_043728145.1/GCA_043728145.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/728/145/GCA_043728145.1/GCA_043728145.1.fa.gz.fai	3	all 126 annotation sequence names and lengths match the target FAI
GCA_043748575.1	EXACT_DICTIONARY	8c12130d57bdb6e31e7efb5e9025bd6c70b305593f91ea048f136ae3284417d2	/moosefs/erikg/vgp/objects/sha256/8c/12/8c12130d57bdb6e31e7efb5e9025bd6c70b305593f91ea048f136ae3284417d2	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043748575.1/GCA_043748575.1-GB_2025_11_02/GCA_043748575.1_ASM4374857v1_genomic.gff.gz""]"	GCA_043748575.1-GB_2025_11_02	Vertebrate Genome Laboratory	GFF3	2031976	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/748/575/GCA_043748575.1/GCA_043748575.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/748/575/GCA_043748575.1/GCA_043748575.1.fa.gz.fai	3	all 66 annotation sequence names and lengths match the target FAI
GCA_043748645.1	EXACT_DICTIONARY	fed2589c9cdf2cf9a434a86b3f49c1292ad2a0d140a381e2b505b146c1acb3c9	/moosefs/erikg/vgp/freeze1/objects/GCA/043/748/645/GCA_043748645.1/genes/GCA_043748645.1_ASM4374864v1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	619879	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/748/645/GCA_043748645.1/GCA_043748645.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/748/645/GCA_043748645.1/GCA_043748645.1.fa.gz.fai	2	all 28 annotation sequence names and lengths match the target FAI
GCA_043880285.1	EXACT_DICTIONARY	e15921a9da7a96ff4a7bfac4031e450a2e74139260ae4a6db3a94b17332873cb	/moosefs/erikg/vgp/objects/sha256/e1/59/e15921a9da7a96ff4a7bfac4031e450a2e74139260ae4a6db3a94b17332873cb	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043880285.1/GCA_043880285.1-GB_2025_12_03/GCA_043880285.1_ASM4388028v1_genomic.gff.gz""]"	GCA_043880285.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	1429372	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/285/GCA_043880285.1/GCA_043880285.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/285/GCA_043880285.1/GCA_043880285.1.fa.gz.fai	3	all 66 annotation sequence names and lengths match the target FAI
GCA_043880425.1	EXACT_DICTIONARY	d56b1ff5da7d939a1c349f82450c409c7207ae4ceb85ddcacd562a288f504008	/moosefs/erikg/vgp/objects/sha256/d5/6b/d56b1ff5da7d939a1c349f82450c409c7207ae4ceb85ddcacd562a288f504008	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043880425.1/GCA_043880425.1-GB_2025_11_02/GCA_043880425.1_ASM4388042v1_genomic.gff.gz""]"	GCA_043880425.1-GB_2025_11_02	Vertebrate Genome Laboratory	GFF3	1760769	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/425/GCA_043880425.1/GCA_043880425.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/425/GCA_043880425.1/GCA_043880425.1.fa.gz.fai	3	all 1486 annotation sequence names and lengths match the target FAI
GCA_043880545.1	EXACT_DICTIONARY	80b62cd43e5cbc5dce18fc8d644b36e09407b63cf398999b6037837b21baa093	/moosefs/erikg/vgp/objects/sha256/80/b6/80b62cd43e5cbc5dce18fc8d644b36e09407b63cf398999b6037837b21baa093	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043880545.1/GCA_043880545.1-GB_2025_10_13/GCA_043880545.1_ASM4388054v1_genomic.gff.gz""]"	GCA_043880545.1-GB_2025_10_13	Vertebrate Genome Laboratory	GFF3	867939	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/545/GCA_043880545.1/GCA_043880545.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/545/GCA_043880545.1/GCA_043880545.1.fa.gz.fai	3	all 106 annotation sequence names and lengths match the target FAI
GCA_043880595.1	EXACT_DICTIONARY	756c69891dbadf54b2ea5d095365dbc152c75ca9afb5ce050975d83b7aee2a95	/moosefs/erikg/vgp/objects/sha256/75/6c/756c69891dbadf54b2ea5d095365dbc152c75ca9afb5ce050975d83b7aee2a95	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_043880595.1/GCA_043880595.1-GB_2025_12_03/GCA_043880595.1_ASM4388059v1_genomic.gff.gz""]"	GCA_043880595.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	1070715	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/595/GCA_043880595.1/GCA_043880595.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/043/880/595/GCA_043880595.1/GCA_043880595.1.fa.gz.fai	3	all 419 annotation sequence names and lengths match the target FAI
GCA_044231665.1	EXACT_DICTIONARY	ce9b35f8a385537a75f06d8f300f16b9a369d01202c177709995603553ae0d7f	/moosefs/erikg/vgp/objects/sha256/ce/9b/ce9b35f8a385537a75f06d8f300f16b9a369d01202c177709995603553ae0d7f	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_044231665.1/GCA_044231665.1-GB_2025_09_22/GCA_044231665.1_SynOce1_v1.hap1_genomic.gff.gz""]"	GCA_044231665.1-GB_2025_09_22	Vertebrate Genome Laboratory	GFF3	498877	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/044/231/665/GCA_044231665.1/GCA_044231665.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/044/231/665/GCA_044231665.1/GCA_044231665.1.fa.gz.fai	3	all 107 annotation sequence names and lengths match the target FAI
GCA_044231675.1	EXACT_DICTIONARY	68b85a49754adf727c31b558d7632c113e8b321f7dfc39de93f758f2b7ed1bef	/moosefs/erikg/vgp/objects/sha256/68/b8/68b85a49754adf727c31b558d7632c113e8b321f7dfc39de93f758f2b7ed1bef	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_044231675.1/GCA_044231675.1-GB_2025_09_15/GCA_044231675.1_ASM4423167v1_genomic.gff.gz""]"	GCA_044231675.1-GB_2025_09_15	Vertebrate Genome Laboratory	GFF3	1139812	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/044/231/675/GCA_044231675.1/GCA_044231675.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/044/231/675/GCA_044231675.1/GCA_044231675.1.fa.gz.fai	3	all 300 annotation sequence names and lengths match the target FAI
GCA_045345405.1	EXACT_DICTIONARY	9ab6357797ea1756c4f15258624665954e1129139cbe0b6aeb80373657351bc2	/moosefs/erikg/vgp/objects/sha256/9a/b6/9ab6357797ea1756c4f15258624665954e1129139cbe0b6aeb80373657351bc2	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_045345405.1/GCA_045345405.1-GB_2025_12_04/GCA_045345405.1_bGuaGua1_haplotype_1_genomic.gff.gz""]"	GCA_045345405.1-GB_2025_12_04	Vertebrate Genome Laboratory	GFF3	1197971	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/345/405/GCA_045345405.1/GCA_045345405.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/345/405/GCA_045345405.1/GCA_045345405.1.fa.gz.fai	3	all 216 annotation sequence names and lengths match the target FAI
GCA_045345515.1	EXACT_DICTIONARY	916ad9bf97820967ae2f946bec77afc27a1823507daf06a4722f3f641ae540bc	/moosefs/erikg/vgp/objects/sha256/91/6a/916ad9bf97820967ae2f946bec77afc27a1823507daf06a4722f3f641ae540bc	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_045345515.1/GCA_045345515.1-GB_2025_12_03/GCA_045345515.1_bMorGui1_haplotype_2_genomic.gff.gz""]"	GCA_045345515.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	1625360	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/345/515/GCA_045345515.1/GCA_045345515.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/345/515/GCA_045345515.1/GCA_045345515.1.fa.gz.fai	3	all 544 annotation sequence names and lengths match the target FAI
GCA_045362495.1	EXACT_DICTIONARY	5ac4abe23586cbb4598901a42dc118140e0193dbec9beda23e0a69ef175ce82b	/moosefs/erikg/vgp/objects/sha256/5a/c4/5ac4abe23586cbb4598901a42dc118140e0193dbec9beda23e0a69ef175ce82b	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_045362495.1/GCA_045362495.1-GB_2025_09_26/GCA_045362495.1_fLetNeb1.hap1_genomic.gff.gz""]"	GCA_045362495.1-GB_2025_09_26	Vertebrate Genome Laboratory	GFF3	741194	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/362/495/GCA_045362495.1/GCA_045362495.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/362/495/GCA_045362495.1/GCA_045362495.1.fa.gz.fai	3	all 226 annotation sequence names and lengths match the target FAI
GCA_045363895.1	EXACT_DICTIONARY	317ddbd5a52cddc6e8b907823e7ee09c65a346818f77b2d9c63c1096b6041d53	/moosefs/erikg/vgp/objects/sha256/31/7d/317ddbd5a52cddc6e8b907823e7ee09c65a346818f77b2d9c63c1096b6041d53	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_045363895.1/GCA_045363895.1-GB_2025_10_02/GCA_045363895.1_fPriTyp1.hap1_genomic.gff.gz""]"	GCA_045363895.1-GB_2025_10_02	Vertebrate Genome Laboratory	GFF3	737360	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/363/895/GCA_045363895.1/GCA_045363895.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/363/895/GCA_045363895.1/GCA_045363895.1.fa.gz.fai	3	all 283 annotation sequence names and lengths match the target FAI
GCA_045364795.1	EXACT_DICTIONARY	ba393ffb7931880ffd37df9356ee97c4c192449ffd20fc3dc44a90e0ba3f5fa2	/moosefs/erikg/vgp/freeze1/objects/GCA/045/364/795/GCA_045364795.1/genes/GCA_045364795.1_bWilVid1_haplotype_1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	296413	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/364/795/GCA_045364795.1/GCA_045364795.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/364/795/GCA_045364795.1/GCA_045364795.1.fa.gz.fai	2	all 389 annotation sequence names and lengths match the target FAI
GCA_045364815.1	EXACT_DICTIONARY	c431fe90d0548403ca5db30edacc7d596f4635b9aa0a5f09a21fb9291e2bf2c7	/moosefs/erikg/vgp/objects/sha256/c4/31/c431fe90d0548403ca5db30edacc7d596f4635b9aa0a5f09a21fb9291e2bf2c7	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_045364815.1/GCA_045364815.1-GB_2026_02_17/GCA_045364815.1_rPodExp1_haplotype_2_genomic.gff.gz""]"	GCA_045364815.1-GB_2026_02_17	Vertebrate Genome Laboratory	GFF3	609173	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/364/815/GCA_045364815.1/GCA_045364815.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/045/364/815/GCA_045364815.1/GCA_045364815.1.fa.gz.fai	3	all 725 annotation sequence names and lengths match the target FAI
